Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
BBB,38.3126,-123.0825,NaN,10 m isobath,2020-02-20T20:10:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,0.0,0.0,6.0,101.0,4.0,1.0,0.0,912.0,4.0,1030.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2020-06-23T20:50:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,5.0,0.0,5.0,66.0,299.0,5.0,0.0,0.0,51100.0,85.0,51565.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2020-07-28T19:20:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1840.0,0.0,55.0,0.0,133.0,2.0,0.0,164.0,0.0,0.0,49.0,46.0,2291.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2020-08-25T19:17:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.0,0.0,13.0,0.0,20.0,65.0,468.0,14.0,0.0,9.0,16137.0,47.0,16859.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2020-09-03T20:40:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.0,0.0,144.0,0.0,646.0,4.0,49.0,6.0,0.0,23.0,618.0,231.0,1760.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2020-10-16T18:20:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0,19.0,16.0,0.0,508.0,4.0,85.0,77.0,0.0,2.0,343.0,89.0,1171.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2020-11-12T23:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,0.0,18.0,7.0,9.0,2.0,0.0,1.0,161.0,17.0,215.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2020-12-11T19:43:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.0,30.0,40.0,0.0,95.0,8.0,154.0,45.0,0.0,3.0,299.0,83.0,837.0
BBB,38.3126,-123.0825,NaN,BML Buoy,2021-01-20T20:30:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,0.0,6.0,0.0,9.0,8.0,17.0,19.0,0.0,5.0,294.0,13.0,374.0
