Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
BML,38.31613,-123.0705,NaN,1,2020-07-28T19:41:00Z,16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7994.0,0.0,283.0,0.0,800.0,8.0,6.0,1135.0,0.0,12.0,264.0,187.0,10690.0
BML,38.31613,-123.0705,NaN,2,2020-08-25T19:36:00Z,13.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194.0,0.0,18.0,0.0,35.0,40.0,225.0,10.0,0.0,11.0,7631.0,37.0,8201.0
BML,38.31613,-123.0705,NaN,3,2020-09-03T20:57:00Z,14.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.0,0.0,74.0,0.0,583.0,11.0,39.0,14.0,0.0,52.0,418.0,142.0,1381.0
BML,38.31613,-123.0705,NaN,4,2020-10-16T18:39:00Z,12.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0,51.0,80.0,0.0,1513.0,2.0,40.0,119.0,0.0,9.0,414.0,201.0,2437.0
BML,38.31613,-123.0705,NaN,5,2020-11-12T23:16:00Z,11.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,14.0,27.0,9.0,4.0,0.0,0.0,339.0,11.0,404.0
BML,38.31613,-123.0705,NaN,6,2021-01-04T19:30:00Z,11.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,39.0,0.0,241.0,11.0,129.0,6.0,0.0,50.0,2094.0,73.0,2643.0
BML,38.31613,-123.0705,NaN,7,2021-01-11T19:00:00Z,11.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,64.0,0.0,131.0,67.0,98.0,10.0,0.0,14.0,3623.0,83.0,4090.0
BML,38.31613,-123.0705,NaN,8,2021-01-20T19:45:00Z,10.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,36.0,0.0,72.0,36.0,32.0,8.0,0.0,4.0,1086.0,60.0,1335.0
BML,38.31613,-123.0705,NaN,9,2020-01-20T20:47:00Z,11.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,33.0,0.0,65.0,20.0,51.0,69.0,0.0,29.0,1118.0,69.0,1454.0
