Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
T16,38.11798,-122.867,NaN,TL16,2021-01-29T19:38:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,0.0,3.0,0.0,3.0,0.0,2.0,4.0,0.0,11.0,972.0,93.0,1101.0
T16,38.11798,-122.867,NaN,TL16,2021-02-25T18:14:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,2322.0,68.0,2415.0
T16,38.11798,-122.867,NaN,TL16,2021-03-27T19:30:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0,0.0,0.0,0.0,3.0,6.0,4.0,0.0,0.0,0.0,288.0,24.0,328.0
T16,38.11798,-122.867,NaN,TL16,2021-04-14T21:15:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,676.0,13.0,697.0
T16,38.11798,-122.867,NaN,TL16,2021-05-28T22:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,739.0,24.0,777.0
T16,38.11798,-122.867,NaN,TL16,2021-06-24T19:19:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,594.0,60.0,672.0
T16,38.11798,-122.867,NaN,TL16,2021-07-22T18:46:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0
T16,38.11798,-122.867,NaN,TL16,2021-08-20T19:20:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,25.0,44.0,0.0,89.0,6.0,8.0,476.0,0.0,17.0,453.0,133.0,1251.0
T16,38.11798,-122.867,NaN,TL16,2021-09-30T17:48:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,10.0,5.0,15.0,196.0,0.0,7.0,64.0,0.0,22.0,341.0,110.0,780.0
T16,38.11798,-122.867,NaN,TL16,2021-10-27T19:51:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1500.0,0.0,15.0,0.0,60.0,0.0,0.0,30.0,0.0,68.0,143.0,53.0,1868.0
T16,38.11798,-122.867,NaN,TL16,2021-11-22T20:38:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182.0,7.0,2.0,0.0,568.0,0.0,7.0,27.0,0.0,20.0,129.0,136.0,1078.0
