Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
NP,33.6061,-117.9311,NaN,NP063008,2008-06-30T16:20:00Z,18.5,NaN,NaN,100.0,2.5,2.5,2.5,0.9,1.2,1.05,0.33,3.9,0.21,1.01,2.92,0.8,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,0.0,10399.0,5200.0,0.0,NaN,NaN,NaN,NaN,NaN,15599.0
NP,33.6061,-117.9311,NaN,NP070808,2008-07-08T13:50:00Z,NaN,NaN,NaN,100.0,2.04,2.13,2.09,1.0,1.0,1.0,0.13,2.4,0.0,0.44,2.38,0.44,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,0.0,0.0,363978.0,41598.0,NaN,NaN,NaN,NaN,NaN,405576.0
NP,33.6061,-117.9311,NaN,NP071408,2008-07-14T15:05:00Z,19.5,NaN,NaN,100.0,5.9,7.21,6.56,3.0,2.9,2.95,0.29,5.3,0.0,0.45,3.6,0.45,200.0,0.0,NaN,NaN,25.0,0.0,0.0,5200.0,5200.0,57197.0,41598.0,20799.0,NaN,NaN,NaN,NaN,NaN,129994.0
NP,33.6061,-117.9311,NaN,NP072108,2008-07-21T14:24:00Z,20.0,NaN,NaN,100.0,1.44,1.38,1.41,0.6,0.6,0.6,0.26,4.0,0.0,0.53,2.37,0.53,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,0.0,5200.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,5200.0
NP,33.6061,-117.9311,NaN,NP072808,2008-07-28T14:45:00Z,22.0,NaN,NaN,100.0,1.57,1.71,1.64,0.6,0.7,0.65,0.15,3.0,0.17,0.98,3.23,0.81,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,0.0,0.0,41598.0,0.0,NaN,NaN,NaN,NaN,NaN,41598.0
NP,33.6061,-117.9311,NaN,NP080408,2008-08-04T14:34:00Z,23.0,NaN,NaN,100.0,1.98,2.06,2.02,0.9,1.0,0.95,0.19,5.0,0.0,0.46,3.43,0.46,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0
NP,33.6061,-117.9311,NaN,NP081108,2008-08-11T15:00:00Z,21.5,NaN,NaN,100.0,0.07,1.49,0.78,2.1,0.5,1.3,0.32,5.4,0.0,0.49,1.26,0.49,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,15599.0,5200.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,20799.0
NP,33.6061,-117.9311,NaN,NP081808,2008-08-18T16:03:00Z,19.5,NaN,NaN,100.0,6.81,8.26,7.54,1.1,0.4,0.75,0.32,5.0,0.0,0.53,3.24,0.53,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,103994.0,5200.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,109194.0
NP,33.6061,-117.9311,NaN,NP082508,2008-08-25T15:15:00Z,20.0,NaN,NaN,100.0,4.37,5.09,4.73,1.7,1.4,1.55,0.31,3.0,0.21,1.1,6.11,0.89,200.0,0.0,NaN,NaN,25.0,0.0,0.0,0.0,57197.0,36398.0,25998.0,0.0,NaN,NaN,NaN,NaN,NaN,119593.0
