Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
SMP,34.008,-118.499,NaN,1,2008-06-30T14:00:00Z,20.5,NaN,NaN,500.0,NaN,NaN,2.8,NaN,NaN,NaN,0.33,NaN,0.0,NaN,2.04,0.72,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,1122.0,8228.0,3740.0,0.0,NaN,NaN,748.0,13838.0,15334.0,43010.0
SMP,34.008,-118.499,NaN,2,2008-07-07T14:35:00Z,21.0,NaN,NaN,700.0,NaN,NaN,3.4,NaN,NaN,NaN,0.29,NaN,0.0,NaN,1.5,0.98,NaN,NaN,NaN,NaN,NaN,0.0,1122.0,0.0,6732.0,9724.0,2244.0,0.0,NaN,NaN,374.0,13651.0,14025.0,47872.0
SMP,34.008,-118.499,NaN,3,2008-07-14T15:00:00Z,21.0,NaN,NaN,500.0,NaN,NaN,6.4,NaN,NaN,NaN,0.19,NaN,0.0,NaN,1.67,0.67,NaN,NaN,NaN,NaN,NaN,26292.0,0.0,0.0,0.0,374.0,486.0,0.0,NaN,NaN,0.0,11594.0,0.0,38746.0
SMP,34.008,-118.499,NaN,4,2008-07-21T15:30:00Z,20.0,NaN,NaN,600.0,NaN,NaN,2.0,NaN,NaN,NaN,0.44,NaN,0.12,NaN,4.32,1.01,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,2992.0,935.0,9070.0,0.0,NaN,NaN,94.0,21225.0,3647.0,37961.0
SMP,34.008,-118.499,NaN,5,2008-07-28T15:00:00Z,21.0,NaN,NaN,410.0,NaN,NaN,7.3,NaN,NaN,NaN,0.23,NaN,0.0,NaN,0.0,1.3,NaN,NaN,NaN,NaN,NaN,0.0,0.0,374.0,2805.0,0.0,1683.0,0.0,NaN,NaN,0.0,124729.0,NaN,129591.0
SMP,34.008,-118.499,NaN,6,2008-08-04T14:50:00Z,21.0,NaN,NaN,580.0,NaN,NaN,2.4,NaN,NaN,NaN,0.45,NaN,0.14,NaN,3.94,1.32,NaN,NaN,NaN,NaN,NaN,0.0,0.0,94.0,655.0,1683.0,1777.0,655.0,NaN,NaN,0.0,6171.0,2712.0,13745.0
SMP,34.008,-118.499,NaN,7,2008-08-11T14:40:00Z,22.0,NaN,NaN,500.0,NaN,NaN,2.8,NaN,NaN,NaN,0.28,NaN,0.13,NaN,3.11,0.9,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,468.0,468.0,187.0,0.0,NaN,NaN,0.0,66385.0,2151.0,69658.0
SMP,34.008,-118.499,NaN,8,2008-08-18T14:40:00Z,21.0,NaN,NaN,650.0,NaN,NaN,2.2,NaN,NaN,NaN,0.34,NaN,0.17,NaN,1.86,1.05,NaN,NaN,NaN,NaN,NaN,0.0,0.0,187.0,6358.0,1029.0,374.0,0.0,NaN,NaN,0.0,374.0,3273.0,11594.0
SMP,34.008,-118.499,NaN,9,2008-08-26T14:45:00Z,21.0,NaN,NaN,890.0,NaN,NaN,2.0,NaN,NaN,NaN,0.3,NaN,0.0,NaN,1.05,0.99,NaN,NaN,NaN,NaN,NaN,0.0,0.0,187.0,7761.0,4114.0,0.0,0.0,NaN,NaN,0.0,13464.0,2712.0,28237.0
SMP,34.008,-118.499,NaN,10,2008-09-02T17:30:00Z,22.5,NaN,NaN,1000.0,NaN,NaN,NaN,NaN,NaN,NaN,0.18,NaN,0.0,NaN,0.0,0.38,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,1122.0,0.0,0.0,NaN,NaN,0.0,1309.0,935.0,3366.0
SMP,34.008,-118.499,NaN,11,2008-09-08T21:50:00Z,22.0,NaN,NaN,500.0,NaN,NaN,1.6,NaN,NaN,NaN,0.26,NaN,0.0,NaN,0.96,0.5,NaN,NaN,NaN,NaN,NaN,0.0,0.0,94.0,0.0,1870.0,187.0,0.0,NaN,NaN,0.0,4956.0,935.0,8041.0
SMP,34.008,-118.499,NaN,12,2008-09-15T16:30:00Z,19.3,NaN,NaN,500.0,NaN,NaN,3.2,NaN,NaN,NaN,0.36,NaN,0.2,NaN,1.12,0.74,NaN,NaN,NaN,NaN,NaN,0.0,0.0,187.0,655.0,7200.0,374.0,0.0,NaN,NaN,0.0,3366.0,6078.0,17859.0
SMP,34.008,-118.499,NaN,13,2008-09-29T16:30:00Z,19.9,NaN,NaN,500.0,NaN,NaN,2.4,NaN,NaN,NaN,0.2,NaN,0.1,NaN,0.93,0.36,NaN,NaN,NaN,NaN,NaN,0.0,0.0,187.0,187.0,3740.0,0.0,0.0,NaN,NaN,374.0,561.0,7574.0,12623.0
