Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
SIO,32.867,-117.257,NaN,20080630,2008-06-30T15:00:00Z,19.8,NaN,NaN,100.0,1.81,1.83,1.82,0.59,0.61,0.6,0.24,5.6,0.03,NaN,0.53,0.43,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9535.0,535.0,NaN,0.0,NaN,59882.0,10249.0,NaN
SIO,32.867,-117.257,NaN,20080707,2008-07-07T15:00:00Z,17.3,NaN,NaN,100.0,2.68,2.73,2.71,1.24,1.12,1.18,0.37,5.1,0.04,NaN,1.06,0.83,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61487.0,178.0,NaN,0.0,NaN,105864.0,3743.0,NaN
SIO,32.867,-117.257,NaN,20080714,2008-07-14T14:54:00Z,21.7,NaN,NaN,100.0,0.99,1.0,0.99,0.55,0.54,0.55,0.24,3.5,0.0,NaN,0.35,0.45,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16842.0,535.0,NaN,267.0,NaN,49724.0,8556.0,NaN
SIO,32.867,-117.257,NaN,20080721,2008-07-21T14:50:00Z,20.2,NaN,NaN,100.0,1.21,1.24,1.23,0.49,0.48,0.48,0.17,4.2,0.0,NaN,0.55,0.34,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2050.0,267.0,NaN,0.0,NaN,21832.0,2585.0,NaN
SIO,32.867,-117.257,NaN,20080728,2008-07-28T16:44:00Z,22.4,NaN,NaN,100.0,2.37,2.44,2.41,0.41,0.36,0.39,0.12,3.8,0.0,NaN,0.62,0.29,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5436.0,0.0,NaN,0.0,NaN,21921.0,3387.0,NaN
SIO,32.867,-117.257,NaN,20080804,2008-08-04T15:25:00Z,23.0,NaN,NaN,100.0,1.95,1.85,1.9,0.41,0.35,0.38,0.15,3.6,0.0,NaN,0.46,0.34,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1337.0,0.0,NaN,0.0,NaN,14703.0,5347.0,NaN
SIO,32.867,-117.257,NaN,20080811,2008-08-11T16:00:00Z,22.0,NaN,NaN,100.0,1.91,1.69,1.8,0.66,0.6,0.63,0.27,2.6,0.0,NaN,0.8,0.32,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10515.0,2317.0,NaN,0.0,NaN,175015.0,2673.0,NaN
SIO,32.867,-117.257,NaN,20080818,2008-08-18T15:05:00Z,24.4,NaN,NaN,100.0,1.86,1.78,1.82,0.43,0.44,0.43,0.19,2.6,0.0,NaN,0.0,0.0,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2941.0,535.0,NaN,0.0,NaN,61843.0,4278.0,NaN
SIO,32.867,-117.257,NaN,20080825,2008-08-25T15:05:00Z,19.7,NaN,NaN,100.0,1.73,1.72,1.72,0.44,0.49,0.47,0.27,3.4,0.01,NaN,1.09,0.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,178.0,0.0,NaN,0.0,NaN,24506.0,624.0,NaN
