Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-01-29T18:59:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,4.0,0.0,7.0,21.0,33.0,14.0,0.0,7.0,1041.0,25.0,1152.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-02-25T17:44:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,0.0,0.0,0.0,6.0,444.0,423.0,0.0,0.0,13.0,15693.0,63.0,16644.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-03-27T18:42:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20417.0,0.0,0.0,0.0,5445.0,42195.0,13611.0,0.0,0.0,0.0,1666034.0,46279.0,1796703.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-04-14T21:45:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119.0,0.0,0.0,0.0,0.0,333.0,546.0,0.0,0.0,71.0,148369.0,214.0,149652.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-05-28T21:07:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,354.0,109.0,0.0,0.0,0.0,65838.0,286.0,66587.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-06-24T18:47:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,8.0,197.0,235.0,0.0,0.0,0.0,19788.0,182.0,20409.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-07-22T18:10:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.0,7.0,28.0,0.0,25.0,255.0,3.0,20.0,0.0,11.0,1343.0,309.0,2038.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-08-20T18:45:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,39.0,22.0,0.0,27.0,6.0,0.0,190.0,8.0,4.0,376.0,100.0,784.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-09-30T17:05:00Z,17.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.0,27.0,11.0,0.0,406.0,0.0,33.0,63.0,0.0,35.0,6321.0,169.0,7092.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-10-27T19:15:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.0,27.0,21.0,2.0,191.0,8.0,10.0,254.0,0.0,139.0,349.0,189.0,1229.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-11-22T20:08:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,34.0,5.0,0.0,165.0,23.0,34.0,49.0,0.0,19.0,619.0,113.0,1071.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2021-12-17T18:17:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,0.0,6.0,0.0,56.0,10.0,2.0,10.0,0.0,2.0,289.0,38.0,416.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-01-25T22:23:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,4.0,0.0,35.0,0.0,0.0,19.0,0.0,0.0,58910.0,224.0,59192.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-02-18T21:08:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,0.0,24.0,0.0,4.0,7.0,0.0,9.0,2847.0,418.0,3310.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-04-01T18:24:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,45.0,102.0,0.0,0.0,2.0,6294.0,28.0,6471.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-04-29T17:38:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,23.0,42.0,0.0,0.0,0.0,6521.0,44.0,6631.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-05-31T18:55:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,41.0,30.0,0.0,0.0,8.0,29695.0,275.0,30049.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-07-01T20:50:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,0.0,0.0,0.0,2.0,0.0,24.0,2.0,0.0,0.0,9901.0,149.0,10079.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-08-01T20:09:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.0,0.0,11.0,0.0,9.0,8.0,124.0,0.0,0.0,11.0,568.0,283.0,1225.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-08-31T19:40:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0,75.0,67.0,0.0,70.0,29.0,10.0,15.0,0.0,54.0,82.0,199.0,626.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-09-30T21:30:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0,28.0,61.0,0.0,13.0,57.0,8.0,19.0,0.0,24.0,4323.0,151.0,4692.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-10-28T20:28:22Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.0,1.0,0.0,2.0,3.0,5.0,6.0,0.0,3.0,135.0,15.0,174.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-11-22T18:32:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,8.0,3.0,0.0,2.0,9.0,13.0,16.0,0.0,2.0,466.0,37.0,554.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2022-12-14T19:38:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,6.0,2.0,0.0,348.0,2.0,2.0,71.0,0.0,0.0,280.0,24.0,739.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2023-02-01T16:36:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,23.0,0.0,15.0,8.0,0.0,0.0,34955.0,85.0,35086.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2023-03-29T21:45:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7173.0,2028.0,9200.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2023-04-26T22:20:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55768.0,125.0,55892.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2023-05-23T21:39:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,962.0,0.0,0.0,0.0,104234.0,913.0,106109.0
TBB,38.18967,-122.9286,NaN,TB Buoy,2023-06-29T17:40:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1533.0,0.0,0.0,0.0,50.0,0.0,93.0,0.0,0.0,0.0,17875.0,249.0,19813.0
