Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
T00,38.23082,-122.9791,NaN,TL00,2020-06-30T15:49:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,3.0,0.0,13.0,136.0,57.0,6.0,0.0,0.0,9295.0,48.0,9558.0
T00,38.23082,-122.9791,NaN,TL00,2020-07-29T16:24:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1074.0,0.0,13.0,0.0,25.0,0.0,0.0,60.0,0.0,1.0,27.0,29.0,1229.0
T00,38.23082,-122.9791,NaN,TL00,2020-08-27T21:15:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,335.0,0.0,38.0,0.0,79.0,59.0,119.0,21.0,0.0,11.0,9314.0,103.0,10077.0
T00,38.23082,-122.9791,NaN,TL00,2020-09-29T18:29:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.0,37.0,0.0,1091.0,771.0,360.0,39.0,0.0,135.0,2366.0,151.0,4953.0
T00,38.23082,-122.9791,NaN,TL00,2020-10-28T17:57:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,312.0,17.0,23.0,0.0,602.0,5.0,12.0,132.0,0.0,20.0,282.0,150.0,1555.0
T00,38.23082,-122.9791,NaN,TL00,2020-11-12T17:12:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0,0.0,3.0,0.0,21.0,32.0,15.0,2.0,0.0,0.0,860.0,12.0,948.0
T00,38.23082,-122.9791,NaN,TL00,2020-12-29T17:59:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,10.0,0.0,14.0,28.0,53.0,6.0,0.0,7.0,540.0,14.0,670.0
T00,38.23082,-122.9791,NaN,TL00,2021-01-29T18:37:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,2.0,24.0,9.0,5.0,0.0,0.0,385.0,3.0,427.0
T00,38.23082,-122.9791,NaN,TL00,2021-02-25T17:20:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,0.0,0.0,0.0,287.0,273.0,0.0,0.0,8.0,9178.0,44.0,9791.0
T00,38.23082,-122.9791,NaN,TL00,2021-03-27T18:10:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.0,0.0,0.0,0.0,0.0,67.0,108.0,0.0,0.0,0.0,9698.0,67.0,9967.0
T00,38.23082,-122.9791,NaN,TL00,2021-04-14T20:21:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.0,0.0,0.0,0.0,0.0,765.0,798.0,0.0,0.0,67.0,195543.0,333.0,197539.0
T00,38.23082,-122.9791,NaN,TL00,2021-05-28T20:22:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,289.0,128.0,0.0,0.0,0.0,39546.0,104.0,40068.0
T00,38.23082,-122.9791,NaN,TL00,2021-06-24T18:15:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,26.0,0.0,0.0,662.0,662.0,0.0,0.0,0.0,59286.0,794.0,61430.0
T00,38.23082,-122.9791,NaN,TL00,2021-07-22T17:42:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.0,0.0,48.0,0.0,15.0,241.0,7.0,11.0,0.0,33.0,3096.0,371.0,3968.0
