location_code,latitude,longitude,sampleid,time,temp,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
BBB,38.3126,-123.0825,10 m isobath,2020-02-20 20:10:00+00:00,,0.0,0.0,1.0,0.0,0.0,6.0,101.0,4.0,1.0,0.0,912.0,4.0,1030.0,2020-02-20,2020-02-17,2020,2
BBB,38.3126,-123.0825,BML Buoy,2020-06-23 20:50:00+00:00,,0.0,0.0,5.0,0.0,5.0,66.0,299.0,5.0,0.0,0.0,51100.0,85.0,51565.0,2020-06-23,2020-06-22,2020,6
BBB,38.3126,-123.0825,BML Buoy,2020-07-28 19:20:00+00:00,,1840.0,0.0,55.0,0.0,133.0,2.0,0.0,164.0,0.0,0.0,49.0,46.0,2291.0,2020-07-28,2020-07-27,2020,7
BBB,38.3126,-123.0825,BML Buoy,2020-08-25 19:17:00+00:00,,85.0,0.0,13.0,0.0,20.0,65.0,468.0,14.0,0.0,9.0,16137.0,47.0,16859.0,2020-08-25,2020-08-24,2020,8
BBB,38.3126,-123.0825,BML Buoy,2020-09-03 20:40:00+00:00,,38.0,0.0,144.0,0.0,646.0,4.0,49.0,6.0,0.0,23.0,618.0,231.0,1760.0,2020-09-03,2020-08-31,2020,9
BBB,38.3126,-123.0825,BML Buoy,2020-10-16 18:20:00+00:00,,30.0,19.0,16.0,0.0,508.0,4.0,85.0,77.0,0.0,2.0,343.0,89.0,1171.0,2020-10-16,2020-10-12,2020,10
BBB,38.3126,-123.0825,BML Buoy,2020-11-12 23:00:00+00:00,,0.0,0.0,1.0,0.0,18.0,7.0,9.0,2.0,0.0,1.0,161.0,17.0,215.0,2020-11-12,2020-11-09,2020,11
BBB,38.3126,-123.0825,BML Buoy,2020-12-11 19:43:00+00:00,,79.0,30.0,40.0,0.0,95.0,8.0,154.0,45.0,0.0,3.0,299.0,83.0,837.0,2020-12-11,2020-12-07,2020,12
BBB,38.3126,-123.0825,BML Buoy,2021-01-20 20:30:00+00:00,,2.0,0.0,6.0,0.0,9.0,8.0,17.0,19.0,0.0,5.0,294.0,13.0,374.0,2021-01-20,2021-01-18,2021,1
BBB,38.3126,-123.0825,BML Buoy,2021-02-18 20:07:00+00:00,,0.0,0.0,1.0,0.0,0.0,113.0,120.0,1.0,0.0,0.0,3355.0,15.0,3605.0,2021-02-18,2021-02-15,2021,2
BBB,38.3126,-123.0825,BML Buoy,2021-03-17 20:45:00+00:00,,0.0,0.0,0.0,0.0,0.0,147.0,1740.0,25.0,0.0,0.0,66470.0,270.0,68650.0,2021-03-17,2021-03-15,2021,3
BBB,38.3126,-123.0825,BML Buoy,2021-04-28 18:52:00+00:00,,0.0,0.0,0.0,0.0,0.0,170.0,184.0,0.0,0.0,14.0,17263.0,57.0,17687.0,2021-04-28,2021-04-26,2021,4
BBB,38.3126,-123.0825,BML Buoy,2021-05-13 17:27:00+00:00,,0.0,0.0,0.0,0.0,0.0,2481.0,582.0,0.0,0.0,0.0,339565.0,123.0,342750.0,2021-05-13,2021-05-10,2021,5
BBB,38.3126,-123.0825,BML Buoy,2021-06-11 20:09:00+00:00,,0.0,0.0,0.0,0.0,0.0,113.0,34.0,0.0,0.0,0.0,13348.0,49.0,13544.0,2021-06-11,2021-06-07,2021,6
BBB,38.3126,-123.0825,BML Buoy,2021-07-28 18:58:00+00:00,,6.0,18.0,21.0,6.0,82.0,26.0,6.0,184.0,0.0,51.0,345.0,227.0,973.0,2021-07-28,2021-07-26,2021,7
BBB,38.3126,-123.0825,BML Buoy,2021-08-19 18:00:00+00:00,,3.0,18.0,13.0,0.0,7.0,11.0,5.0,78.0,0.0,5.0,127.0,102.0,370.0,2021-08-19,2021-08-16,2021,8
BBB,38.3126,-123.0825,BML Buoy,2021-09-17 18:05:00+00:00,,10.0,22.0,7.0,0.0,632.0,12.0,16.0,211.0,0.0,33.0,145.0,99.0,1186.0,2021-09-17,2021-09-13,2021,9
BBB,38.3126,-123.0825,BML Buoy,2021-10-15 18:16:00+00:00,,5.0,9.0,4.0,0.0,13.0,7.0,164.0,98.0,0.0,9.0,1004.0,28.0,1341.0,2021-10-15,2021-10-11,2021,10
BBB,38.3126,-123.0825,BML Buoy,2021-11-10 19:26:00+00:00,,4.0,9.0,13.0,0.0,76.0,9.0,11.0,70.0,0.0,8.0,434.0,37.0,670.0,2021-11-10,2021-11-08,2021,11
BBB,38.3126,-123.0825,BML Buoy,2021-12-28 18:20:00+00:00,,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,60.0,8.0,74.0,2021-12-28,2021-12-27,2021,12
BBB,38.3126,-123.0825,BML Buoy,2022-02-24 19:57:00+00:00,,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,2.0,2301.0,22.0,2340.0,2022-02-24,2022-02-21,2022,2
BBB,38.3126,-123.0825,BML Buoy,2022-03-11 19:45:00+00:00,,0.0,0.0,1.0,0.0,1.0,42.0,113.0,0.0,0.0,0.0,12089.0,23.0,12268.0,2022-03-11,2022-03-07,2022,3
BBB,38.3126,-123.0825,BML Buoy,2022-05-25 19:40:00+00:00,,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,4237.0,9.0,4263.0,2022-05-25,2022-05-23,2022,5
BBB,38.3126,-123.0825,BML Buoy,2022-07-26 18:32:00+00:00,,0.0,0.0,2.0,1.0,0.0,168.0,132.0,0.0,0.0,4.0,8592.0,287.0,9188.0,2022-07-26,2022-07-25,2022,7
BBB,38.3126,-123.0825,BML Buoy,2022-08-30 21:59:00+00:00,,0.0,6.0,24.0,0.0,37.0,10.0,2.0,4.0,0.0,4.0,46.0,84.0,217.0,2022-08-30,2022-08-29,2022,8
BBB,38.3126,-123.0825,BML Buoy,2022-09-23 18:40:00+00:00,,2.0,0.0,51.0,0.0,17.0,49.0,7.0,37.0,0.0,7.0,2121.0,118.0,2408.0,2022-09-23,2022-09-19,2022,9
BBB,38.3126,-123.0825,BML Buoy,2022-10-31 22:39:00+00:00,,0.0,3.0,1.0,0.0,2.0,5.0,7.0,4.0,0.0,0.0,230.0,10.0,261.0,2022-10-31,2022-10-31,2022,10
BBB,38.3126,-123.0825,BML Buoy,2022-11-16 19:53:00+00:00,,0.0,20.0,9.0,1.0,4.0,5.0,11.0,34.0,0.0,1.0,337.0,75.0,496.0,2022-11-16,2022-11-14,2022,11
BBB,38.3126,-123.0825,BML Buoy,2022-12-20 17:35:00+00:00,,2.0,10.0,8.0,0.0,902.0,6.0,24.0,418.0,0.0,0.0,455.0,67.0,1892.0,2022-12-20,2022-12-19,2022,12
BBB,38.3126,-123.0825,BML Buoy,2023-01-25 21:14:00+00:00,,0.0,0.0,0.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,87.0,3.0,117.0,2023-01-25,2023-01-23,2023,1
BBB,38.3126,-123.0825,BML Buoy,2023-02-25 19:55:00+00:00,,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2778.0,28.0,2813.0,2023-02-25,2023-02-20,2023,2
BBB,38.3126,-123.0825,BML Buoy,2023-03-31 18:05:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,1396.0,49.0,1469.0,2023-03-31,2023-03-27,2023,3
BBB,38.3126,-123.0825,BML Buoy,2023-04-27 18:20:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,5084.0,96.0,5325.0,2023-04-27,2023-04-24,2023,4
BBB,38.3126,-123.0825,BML Buoy,2023-05-26 20:31:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,14688.0,278.0,15382.0,2023-05-26,2023-05-22,2023,5
BBB,38.3126,-123.0825,BML Buoy,2023-06-06 21:09:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,42058.0,54.0,42576.0,2023-06-06,2023-06-05,2023,6
BBB,38.3126,-123.0825,BML Buoy,2023-08-01 17:25:00+00:00,,0.0,15.0,0.0,0.0,0.0,1900.0,2064.0,0.0,0.0,0.0,18503.0,90.0,22571.0,2023-08-01,2023-07-31,2023,8
BBB,38.3126,-123.0825,BML Buoy,2023-08-17 19:21:00+00:00,,23.0,4.0,116.0,0.0,50.0,0.0,0.0,27.0,0.0,0.0,728.0,205.0,1154.0,2023-08-17,2023-08-14,2023,8
BBB,38.3126,-123.0825,BML Buoy,2023-09-08 19:00:00+00:00,,40.0,0.0,345.0,0.0,1226.0,0.0,0.0,1266.0,0.0,0.0,304.0,208.0,3390.0,2023-09-08,2023-09-04,2023,9
BBB,38.3126,-123.0825,BML Buoy,2023-10-05 21:21:00+00:00,,7.0,0.0,4.0,0.0,266.0,0.0,0.0,123.0,0.0,116.0,22.0,7.0,546.0,2023-10-05,2023-10-02,2023,10
BBB,38.3126,-123.0825,BML Buoy,2023-11-29 23:35:00+00:00,,0.0,195.0,25.0,0.0,1001.0,21.0,42.0,295.0,0.0,353.0,598.0,195.0,2726.0,2023-11-29,2023-11-27,2023,11
BBB,38.3126,-123.0825,BML Buoy,2024-01-29 21:52:00+00:00,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51.0,7.0,62.0,2024-01-29,2024-01-29,2024,1
BBB,38.3126,-123.0825,BML Buoy,2024-03-18 19:50:00+00:00,,0.0,0.0,0.0,0.0,0.0,93.0,868.0,0.0,0.0,0.0,39133.0,155.0,40248.0,2024-03-18,2024-03-18,2024,3
BBB,38.3126,-123.0825,BML Buoy,2024-05-16 18:30:00+00:00,,0.0,0.0,0.0,0.0,0.0,124.0,101.0,0.0,0.0,0.0,13966.0,77.0,14268.0,2024-05-16,2024-05-13,2024,5
BBB,38.3126,-123.0825,BML Buoy,2024-08-28 21:19:00+00:00,,0.0,29.0,22.0,0.0,18.0,5200.0,0.0,36.0,0.0,0.0,1749.0,130.0,7183.0,2024-08-28,2024-08-26,2024,8
