location_code,latitude,longitude,sampleid,time,temp,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
BML,38.31613,-123.0705,9.0,2020-01-20 20:47:00+00:00,11.1,0.0,0.0,33.0,0.0,65.0,20.0,51.0,69.0,0.0,29.0,1118.0,69.0,1454.0,2020-01-20,2020-01-20,2020,1
BML,38.31613,-123.0705,1.0,2020-07-28 19:41:00+00:00,16.0,7994.0,0.0,283.0,0.0,800.0,8.0,6.0,1135.0,0.0,12.0,264.0,187.0,10690.0,2020-07-28,2020-07-27,2020,7
BML,38.31613,-123.0705,2.0,2020-08-25 19:36:00+00:00,13.6,194.0,0.0,18.0,0.0,35.0,40.0,225.0,10.0,0.0,11.0,7631.0,37.0,8201.0,2020-08-25,2020-08-24,2020,8
BML,38.31613,-123.0705,3.0,2020-09-03 20:57:00+00:00,14.4,48.0,0.0,74.0,0.0,583.0,11.0,39.0,14.0,0.0,52.0,418.0,142.0,1381.0,2020-09-03,2020-08-31,2020,9
BML,38.31613,-123.0705,4.0,2020-10-16 18:39:00+00:00,12.5,8.0,51.0,80.0,0.0,1513.0,2.0,40.0,119.0,0.0,9.0,414.0,201.0,2437.0,2020-10-16,2020-10-12,2020,10
BML,38.31613,-123.0705,5.0,2020-11-12 23:16:00+00:00,11.8,0.0,0.0,0.0,0.0,14.0,27.0,9.0,4.0,0.0,0.0,339.0,11.0,404.0,2020-11-12,2020-11-09,2020,11
BML,38.31613,-123.0705,6.0,2021-01-04 19:30:00+00:00,11.4,0.0,0.0,39.0,0.0,241.0,11.0,129.0,6.0,0.0,50.0,2094.0,73.0,2643.0,2021-01-04,2021-01-04,2021,1
BML,38.31613,-123.0705,7.0,2021-01-11 19:00:00+00:00,11.1,0.0,0.0,64.0,0.0,131.0,67.0,98.0,10.0,0.0,14.0,3623.0,83.0,4090.0,2021-01-11,2021-01-11,2021,1
BML,38.31613,-123.0705,8.0,2021-01-20 19:45:00+00:00,10.8,0.0,0.0,36.0,0.0,72.0,36.0,32.0,8.0,0.0,4.0,1086.0,60.0,1335.0,2021-01-20,2021-01-18,2021,1
BML,38.31613,-123.0705,10.0,2021-01-25 20:45:00+00:00,10.6,0.0,0.0,8.0,0.0,27.0,11.0,55.0,1.0,0.0,5.0,1288.0,37.0,1432.0,2021-01-25,2021-01-25,2021,1
BML,38.31613,-123.0705,11.0,2021-02-01 19:10:00+00:00,11.2,0.0,0.0,12.0,0.0,28.0,36.0,54.0,8.0,0.0,12.0,764.0,44.0,956.0,2021-02-01,2021-02-01,2021,2
BML,38.31613,-123.0705,12.0,2021-02-08 19:00:00+00:00,11.4,0.0,0.0,10.0,0.0,22.0,10.0,6.0,2.0,0.0,1.0,269.0,15.0,336.0,2021-02-08,2021-02-08,2021,2
BML,38.31613,-123.0705,13.0,2021-02-15 18:30:00+00:00,11.1,0.0,0.0,0.0,0.0,5.0,38.0,63.0,2.0,0.0,0.0,1540.0,85.0,1732.0,2021-02-15,2021-02-15,2021,2
BML,38.31613,-123.0705,14.0,2021-02-18 20:25:00+00:00,10.9,0.0,0.0,0.0,0.0,2.0,13.0,19.0,0.0,0.0,0.0,579.0,28.0,641.0,2021-02-18,2021-02-15,2021,2
BML,38.31613,-123.0705,15.0,2021-02-21 19:20:00+00:00,10.3,0.0,0.0,1.0,0.0,0.0,58.0,45.0,0.0,0.0,0.0,3708.0,39.0,3851.0,2021-02-21,2021-02-15,2021,2
BML,38.31613,-123.0705,16.0,2021-03-01 18:30:00+00:00,9.7,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,3.0,1163.0,10.0,1199.0,2021-03-01,2021-03-01,2021,3
BML,38.31613,-123.0705,17.0,2021-03-08 18:30:00+00:00,10.2,0.0,0.0,0.0,0.0,0.0,3076.0,9542.0,0.0,0.0,0.0,338431.0,942.0,351990.0,2021-03-08,2021-03-08,2021,3
BML,38.31613,-123.0705,18.0,2021-03-15 18:00:00+00:00,9.8,0.0,0.0,28.0,0.0,0.0,56.0,1182.0,0.0,0.0,0.0,25715.0,253.0,27234.0,2021-03-15,2021-03-15,2021,3
BML,38.31613,-123.0705,19.0,2021-03-17 21:10:00+00:00,10.0,0.0,0.0,0.0,0.0,3.0,20.0,203.0,0.0,0.0,0.0,4100.0,52.0,4378.0,2021-03-17,2021-03-15,2021,3
BML,38.31613,-123.0705,20.0,2021-03-22 18:00:00+00:00,9.9,0.0,0.0,0.0,0.0,0.0,20.0,78.0,0.0,0.0,7.0,6150.0,37.0,6293.0,2021-03-22,2021-03-22,2021,3
BML,38.31613,-123.0705,21.0,2021-03-29 18:00:00+00:00,9.9,0.0,0.0,0.0,0.0,0.0,40.0,28.0,0.0,0.0,0.0,2136.0,28.0,2233.0,2021-03-29,2021-03-29,2021,3
BML,38.31613,-123.0705,22.0,2021-04-05 17:30:00+00:00,10.7,0.0,0.0,0.0,0.0,0.0,40.0,112.0,0.0,0.0,0.0,17219.0,36.0,17407.0,2021-04-05,2021-04-05,2021,4
BML,38.31613,-123.0705,23.0,2021-04-12 17:20:00+00:00,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1921.0,5.0,1926.0,2021-04-12,2021-04-12,2021,4
BML,38.31613,-123.0705,24.0,2021-04-19 17:45:00+00:00,9.9,0.0,0.0,0.0,0.0,0.0,169.0,156.0,0.0,0.0,0.0,17962.0,34.0,18321.0,2021-04-19,2021-04-19,2021,4
BML,38.31613,-123.0705,25.0,2021-04-26 19:15:00+00:00,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,9.0,3673.0,2021-04-26,2021-04-26,2021,4
BML,38.31613,-123.0705,26.0,2021-04-28 19:05:00+00:00,10.4,0.0,0.0,0.0,0.0,20.0,470.0,388.0,0.0,0.0,0.0,127791.0,102.0,128771.0,2021-04-28,2021-04-26,2021,4
BML,38.31613,-123.0705,27.0,2021-05-03 17:40:00+00:00,10.5,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2922.0,10.0,2945.0,2021-05-03,2021-05-03,2021,5
BML,38.31613,-123.0705,28.0,2021-05-10 17:45:00+00:00,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,10.0,1010.0,2021-05-10,2021-05-10,2021,5
BML,38.31613,-123.0705,29.0,2021-05-13 17:57:00+00:00,11.0,0.0,0.0,0.0,0.0,2.0,143.0,16.0,0.0,0.0,0.0,6084.0,11.0,6256.0,2021-05-13,2021-05-10,2021,5
BML,38.31613,-123.0705,30.0,2021-05-17 20:00:00+00:00,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,765.0,9.0,775.0,2021-05-17,2021-05-17,2021,5
BML,38.31613,-123.0705,31.0,2021-05-24 18:10:00+00:00,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.0,4.0,1203.0,2021-05-24,2021-05-24,2021,5
BML,38.31613,-123.0705,32.0,2021-05-31 17:20:00+00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3797.0,3.0,3800.0,2021-05-31,2021-05-31,2021,5
BML,38.31613,-123.0705,33.0,2021-06-06 20:20:00+00:00,10.0,0.0,0.0,0.0,0.0,0.0,160.0,68.0,0.0,0.0,0.0,101086.0,160.0,101473.0,2021-06-06,2021-05-31,2021,6
BML,38.31613,-123.0705,34.0,2021-06-11 20:24:00+00:00,10.9,0.0,0.0,0.0,0.0,0.0,37.0,29.0,0.0,0.0,0.0,10396.0,41.0,10503.0,2021-06-11,2021-06-07,2021,6
BML,38.31613,-123.0705,35.0,2021-06-14 17:40:00+00:00,13.9,0.0,0.0,0.0,0.0,0.0,162.0,298.0,0.0,0.0,0.0,19741.0,298.0,20634.0,2021-06-14,2021-06-14,2021,6
BML,38.31613,-123.0705,36.0,2021-06-21 17:00:00+00:00,12.9,0.0,0.0,0.0,0.0,0.0,30.0,239.0,0.0,0.0,0.0,21529.0,239.0,22038.0,2021-06-21,2021-06-21,2021,6
BML,38.31613,-123.0705,37.0,2021-06-28 16:45:00+00:00,12.4,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,1730.0,109.0,1856.0,2021-06-28,2021-06-28,2021,6
