location_code,latitude,longitude,depth,sampleid,time,temp,chl_volume_filtered,chl1,chl2,avg_chloro,phaeo1,phaeo2,avg_phaeo,phosphate,silicate,nitrite,nitrite_nitrate,ammonium,nitrate,da_volume_filtered,pda,volume_settled_for_counting,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
CPP,35.170204,-120.740685,0.5,CP170102,2017-01-02 17:30:00+00:00,10.0,100.0,4.24,4.48,4.36,1.0,0.98,0.99,1.575,14.5145,0.501024,15.155,4.9368,14.653976,200.0,0.0,25.0,0.0,17058.455,0.0,0.0,1066.1534,0.0,0.0,533.0767,2132.307,0.0,5863.8438,0.0,26653.836,2017-01-02,2017-01-02,2017,1
CPP,35.170204,-120.740685,0.5,CP170111,2017-01-11 16:40:00+00:00,11.0,50.0,1.93,2.04,1.98,1.5,1.57,1.53,2.74,24.4,1.542241,9.357466,7.74,7.8152246,200.0,0.0,25.0,,,,,,,,,,,,,,2017-01-11,2017-01-09,2017,1
CPP,35.170204,-120.740685,0.5,CP170117,2017-01-17 19:30:00+00:00,12.0,100.0,1.46,1.44,1.45,0.66,0.64,0.65,0.892,11.1,0.3360247,8.618293,3.18,8.282268,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8529.228,0.0,8529.228,2017-01-17,2017-01-16,2017,1
CPP,35.170204,-120.740685,0.5,CP170123,2017-01-23 18:15:00+00:00,12.7,100.0,0.92,1.52,1.22,1.7,2.11,1.91,1.61,15.8,0.81877553,5.7707148,4.98,4.951939,200.0,0.0,25.0,,,,,,,,,,,,,,2017-01-23,2017-01-23,2017,1
CPP,35.170204,-120.740685,0.5,CP170131,2017-01-31 18:10:00+00:00,12.0,100.0,1.78,1.96,1.87,0.44,0.52,0.48,0.875,9.37,0.11092108,6.0542045,15.3,5.9432836,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2665.3835,0.0,0.0,2132.307,533.0767,5330.767,2017-01-31,2017-01-30,2017,1
CPP,35.170204,-120.740685,0.5,CP170206,2017-02-06 17:40:00+00:00,12.0,100.0,1.28,1.16,1.22,1.1,1.12,1.11,6.75,77.5,3.592658,21.717031,9.59,18.124374,200.0,0.0,25.0,,,,,,,,,,,,,,2017-02-06,2017-02-06,2017,2
CPP,35.170204,-120.740685,0.5,CP170213,2017-02-13 18:40:00+00:00,14.0,100.0,0.45,0.44,0.45,0.14,0.2,0.18,0.704,14.6,0.1700179,7.1083336,9.59,6.938316,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2931.9219,266.53836,3198.4604,2017-02-13,2017-02-13,2017,2
CPP,35.170204,-120.740685,0.5,CP170221,2017-02-21 17:30:00+00:00,14.1,50.0,0.89,0.74,0.82,0.79,0.66,0.73,6.0,157.0,1.822373,31.521076,6.32,29.698704,200.0,0.0,25.0,,,,,,,,,,,,,,2017-02-21,2017-02-20,2017,2
CPP,35.170204,-120.740685,0.5,CP170227,2017-02-27 17:30:00+00:00,12.4,100.0,1.28,1.17,1.23,0.5,0.45,0.48,,,,,,,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.53836,0.0,266.53836,2017-02-27,2017-02-27,2017,2
CPP,35.170204,-120.740685,0.5,CP170307,2017-03-07 17:30:00+00:00,11.5,100.0,1.92,2.24,2.08,0.72,0.8,0.76,0.953,27.3,1.0567732,18.737055,0.874,17.68028,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17591.531,0.0,17591.531,2017-03-07,2017-03-06,2017,3
CPP,35.170204,-120.740685,0.5,CP170313,2017-03-13 17:00:00+00:00,12.9,100.0,3.4,2.84,3.12,0.7,0.62,0.66,1.02,20.7,0.19715075,12.872857,2.85,12.675707,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324643.72,4797.6904,329441.4,2017-03-13,2017-03-13,2017,3
