location_code,latitude,longitude,sampleid,time,da_volume_filtered,pda,tda,sample_date,week_start,year,month
HSB,40.72343,-124.2234,SB.170816.pDA,2017-08-16 19:00:00+00:00,250.0,0.004766986,,2017-08-16,2017-08-14,2017,8
HSB,40.72343,-124.2234,SB.170918.pDA,2017-09-18 19:00:00+00:00,250.0,0.03493547,0.57512486,2017-09-18,2017-09-18,2017,9
HSB,40.72343,-124.2234,SB.180214.pDA,2018-02-14 20:00:00+00:00,250.0,0.0,,2018-02-14,2018-02-12,2018,2
HSB,40.72343,-124.2234,SB_001,2019-03-14 20:51:00+00:00,250.0,0.0,0.0,2019-03-14,2019-03-11,2019,3
HSB,40.72343,-124.2234,SB_002,2019-04-11 20:00:00+00:00,250.0,0.023081258,0.3158252,2019-04-11,2019-04-08,2019,4
HSB,40.72343,-124.2234,SB_003,2019-04-25 21:15:00+00:00,250.0,0.0,0.7233922,2019-04-25,2019-04-22,2019,4
HSB,40.72343,-124.2234,SB_004,2019-05-15 19:10:00+00:00,250.0,0.0,0.0,2019-05-15,2019-05-13,2019,5
HSB,40.72343,-124.2234,SB_005,2019-05-23 18:20:00+00:00,250.0,0.0,0.0,2019-05-23,2019-05-20,2019,5
HSB,40.72343,-124.2234,SB_006,2019-06-19 19:30:00+00:00,250.0,0.008500363,0.0,2019-06-19,2019-06-17,2019,6
HSB,40.72343,-124.2234,SB_007,2019-07-29 20:00:00+00:00,250.0,0.0,0.0,2019-07-29,2019-07-29,2019,7
HSB,40.72343,-124.2234,SB_008,2019-08-20 20:45:00+00:00,250.0,0.01345846,0.42091334,2019-08-20,2019-08-19,2019,8
HSB,40.72343,-124.2234,SB_009,2019-09-04 21:45:00+00:00,250.0,0.0,0.426521,2019-09-04,2019-09-02,2019,9
HSB,40.72343,-124.2234,SB_010,2019-09-09 19:30:00+00:00,250.0,0.0,0.0,2019-09-09,2019-09-09,2019,9
HSB,40.72343,-124.2234,SB_011,2019-10-14 21:00:00+00:00,250.0,0.084963255,0.6560999,2019-10-14,2019-10-14,2019,10
HSB,40.72343,-124.2234,SBF_001,2020-01-13 18:55:00+00:00,284.5,0.0,0.0,2020-01-13,2020-01-13,2020,1
HSB,40.72343,-124.2234,SBF_002,2020-01-27 18:30:00+00:00,284.5,0.0,0.21443813,2020-01-27,2020-01-27,2020,1
HSB,40.72343,-124.2234,SBF_003,2020-02-07 20:30:00+00:00,284.5,0.0,0.24270089,2020-02-07,2020-02-03,2020,2
HSB,40.72343,-124.2234,SBF_004,2020-02-19 19:45:00+00:00,284.5,0.0,1.2407578,2020-02-19,2020-02-17,2020,2
HSB,40.72343,-124.2234,SBF_005,2020-03-10 18:20:00+00:00,284.5,0.0,1.1772788,2020-03-10,2020-03-09,2020,3
HSB,40.72343,-124.2234,SBF_006,2020-06-04 21:45:00+00:00,284.5,,0.2825155,2020-06-04,2020-06-01,2020,6
HSB,40.72343,-124.2234,SBF_007,2020-06-29 16:10:00+00:00,284.5,0.0,0.0,2020-06-29,2020-06-29,2020,6
HSB,40.72343,-124.2234,SBF_008,2020-07-16 16:00:00+00:00,284.5,0.004237738,0.0,2020-07-16,2020-07-13,2020,7
HSB,40.72343,-124.2234,SBF_009,2020-08-07 18:00:00+00:00,284.5,0.5302285,0.0,2020-08-07,2020-08-03,2020,8
HSB,40.72343,-124.2234,SBF_010,2020-08-25 19:05:00+00:00,284.5,0.0,0.0,2020-08-25,2020-08-24,2020,8
HSB,40.72343,-124.2234,SBF_111,2020-09-09 17:30:00+00:00,284.5,0.0,5.1776,2020-09-09,2020-09-07,2020,9
HSB,40.72343,-124.2234,SBF_012,2020-09-24 17:45:00+00:00,284.5,0.023372171,0.19277376,2020-09-24,2020-09-21,2020,9
HSB,40.72343,-124.2234,SBF_013,2020-10-07 17:25:00+00:00,284.5,0.023990562,0.4616817,2020-10-07,2020-10-05,2020,10
HSB,40.72343,-124.2234,SBF_014,2020-10-22 15:00:00+00:00,284.5,0.18637396,0.0,2020-10-22,2020-10-19,2020,10
HSB,40.72343,-124.2234,SBF_015,2020-12-01 17:40:00+00:00,284.5,0.006483153,0.0,2020-12-01,2020-11-30,2020,12
HSB,40.72343,-124.2234,SBF_016,2020-12-16 17:15:00+00:00,284.5,0.0,0.0,2020-12-16,2020-12-14,2020,12
