location_code,latitude,longitude,sampleid,time,da_volume_filtered,pda,tda,sample_date,week_start,year,month
HUM,40.77833,-124.1967,CH.170905.pDA,2017-09-05 19:00:00+00:00,250.0,0.043244723,0.7469445,2017-09-05,2017-09-04,2017,9
HUM,40.77833,-124.1967,CH.170905.pDA,2017-09-05 19:00:00+00:00,250.0,0.1936457,0.7469445,2017-09-05,2017-09-04,2017,9
HUM,40.77833,-124.1967,CH.171005.pDA,2017-10-05 19:00:00+00:00,250.0,0.045379233,0.0,2017-10-05,2017-10-02,2017,10
HUM,40.77833,-124.1967,CH.171005.pDA,2017-10-05 19:00:00+00:00,250.0,0.043085914,0.0,2017-10-05,2017-10-02,2017,10
HUM,40.77833,-124.1967,CH.180201.pDA,2018-02-01 20:00:00+00:00,250.0,0.0,,2018-02-01,2018-01-29,2018,2
HUM,40.77833,-124.1967,CH.180201.pDA,2018-02-01 20:00:00+00:00,250.0,0.0,,2018-02-01,2018-01-29,2018,2
HUM,40.77833,-124.1967,CH_001,2019-03-29 18:50:00+00:00,250.0,0.0,0.0,2019-03-29,2019-03-25,2019,3
HUM,40.77833,-124.1967,CH_002,2019-04-12 20:25:00+00:00,250.0,0.08959566,0.474635,2019-04-12,2019-04-08,2019,4
HUM,40.77833,-124.1967,CH_003,2019-04-25 20:35:00+00:00,250.0,0.005501818,0.0,2019-04-25,2019-04-22,2019,4
HUM,40.77833,-124.1967,CH_004,2019-05-15 19:10:00+00:00,250.0,0.003251564,0.0,2019-05-15,2019-05-13,2019,5
HUM,40.77833,-124.1967,CH_005,2019-05-23 19:00:00+00:00,250.0,0.0,1.8755333,2019-05-23,2019-05-20,2019,5
HUM,40.77833,-124.1967,M11,2019-06-07 19:15:00+00:00,250.0,,0.0,2019-06-07,2019-06-03,2019,6
HUM,40.77833,-124.1967,CH_006,2019-06-18 19:30:00+00:00,250.0,0.0,0.0,2019-06-18,2019-06-17,2019,6
HUM,40.77833,-124.1967,CH_007,2019-07-29 21:30:00+00:00,250.0,0.0,0.0,2019-07-29,2019-07-29,2019,7
HUM,40.77833,-124.1967,CH_008,2019-08-23 21:45:00+00:00,250.0,0.0,0.0,2019-08-23,2019-08-19,2019,8
HUM,40.77833,-124.1967,CH_009,2019-09-04 21:15:00+00:00,250.0,0.44380346,0.0,2019-09-04,2019-09-02,2019,9
HUM,40.77833,-124.1967,CH_010,2019-10-15 20:30:00+00:00,250.0,0.017377563,1.3566127,2019-10-15,2019-10-14,2019,10
HUM,40.77833,-124.1967,CHEV_001,2020-01-10 18:55:00+00:00,284.5,0.0,0.87479985,2020-01-10,2020-01-06,2020,1
HUM,40.77833,-124.1967,CHEV_002,2020-01-31 19:10:00+00:00,284.5,0.008382563,1.735244,2020-01-31,2020-01-27,2020,1
HUM,40.77833,-124.1967,CHEV_003,2020-02-14 18:50:00+00:00,284.5,0.0070651,1.2722731,2020-02-14,2020-02-10,2020,2
HUM,40.77833,-124.1967,CHEV_004,2020-02-28 20:00:00+00:00,284.5,0.008512653,11.334266,2020-02-28,2020-02-24,2020,2
HUM,40.77833,-124.1967,CHEV_005,2020-03-13 17:30:00+00:00,284.5,0.5676362,0.0,2020-03-13,2020-03-09,2020,3
HUM,40.77833,-124.1967,CHEV_006,2020-08-11 19:35:00+00:00,284.5,0.0,0.0,2020-08-11,2020-08-10,2020,8
HUM,40.77833,-124.1967,CHEV_007,2020-08-25 18:45:00+00:00,284.5,0.016132783,2.182889,2020-08-25,2020-08-24,2020,8
HUM,40.77833,-124.1967,CHEV_008,2020-09-17 18:00:00+00:00,284.5,0.033449844,0.26825285,2020-09-17,2020-09-14,2020,9
HUM,40.77833,-124.1967,CHEV_009,2020-10-05 19:30:00+00:00,284.5,,,2020-10-05,2020-10-05,2020,10
HUM,40.77833,-124.1967,CHEV_010,2020-10-22 16:00:00+00:00,284.5,0.25917602,0.0,2020-10-22,2020-10-19,2020,10
HUM,40.77833,-124.1967,CHEV_011,2020-12-02 23:30:00+00:00,284.5,0.008630053,,2020-12-02,2020-11-30,2020,12
HUM,40.77833,-124.1967,CHF_012,2021-01-05 18:45:00+00:00,284.5,0.002698787,0.0,2021-01-05,2021-01-04,2021,1
HUM,40.77833,-124.1967,CHF_013,2021-01-22 17:15:00+00:00,284.5,0.0,0.0,2021-01-22,2021-01-18,2021,1
HUM,40.77833,-124.1967,CHF_014,2021-02-12 17:35:00+00:00,284.5,0.0,0.0,2021-02-12,2021-02-08,2021,2
HUM,40.77833,-124.1967,CHF_015,2021-03-15 17:30:00+00:00,284.5,0.0,0.0,2021-03-15,2021-03-15,2021,3
HUM,40.77833,-124.1967,CHF_016,2021-03-30 19:00:00+00:00,284.5,0.0,0.0,2021-03-30,2021-03-29,2021,3
HUM,40.77833,-124.1967,CHF_017,2021-04-13 21:25:00+00:00,284.5,0.0,0.0,2021-04-13,2021-04-12,2021,4
