location_code,latitude,longitude,depth,sampleid,time,temp,chl_volume_filtered,avg_chloro,phosphate,silicate,nitrite_nitrate,da_volume_filtered,pda,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,sample_date,week_start,year,month
HAB_MWII,36.603683,-121.889275,5.0,17004.0,2017-01-04 16:15:00+00:00,12.1,25.0,5.68,0.52,6.31,5.37,50.0,0.0138,214.0,428.0,0.0,0.0,0.0,450.0,41412.0,,,,2017-01-04,2017-01-02,2017,1
HAB_MWII,36.603683,-121.889275,5.0,17011.0,2017-01-11 16:15:00+00:00,12.4,25.0,4.99,0.73,8.0,7.23,50.0,0.0012,214.0,642.0,1070.0,0.0,1070.0,0.0,450.0,,,,2017-01-11,2017-01-09,2017,1
HAB_MWII,36.603683,-121.889275,5.0,17018.0,2017-01-18 16:30:00+00:00,12.6,25.0,7.65,0.97,11.56,7.96,50.0,0.0005,0.0,428.0,0.0,0.0,214.0,0.0,0.0,,,,2017-01-18,2017-01-16,2017,1
HAB_MWII,36.603683,-121.889275,5.0,17025.0,2017-01-25 16:15:00+00:00,12.6,25.0,4.2,0.82,11.07,7.35,50.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-01-25,2017-01-23,2017,1
HAB_MWII,36.603683,-121.889275,5.0,17032.0,2017-02-01 16:15:00+00:00,13.0,25.0,3.3,0.79,10.67,7.95,50.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-02-01,2017-01-30,2017,2
HAB_MWII,36.603683,-121.889275,5.0,17039.0,2017-02-08 16:15:00+00:00,13.2,25.0,2.96,0.71,9.23,5.22,50.0,0.0002,0.0,0.0,214.0,0.0,0.0,0.0,0.0,,,,2017-02-08,2017-02-06,2017,2
HAB_MWII,36.603683,-121.889275,5.0,17046.0,2017-02-15 16:20:00+00:00,14.2,25.0,7.01,0.63,9.11,4.91,50.0,0.0002,0.0,0.0,428.0,0.0,0.0,214.0,428.0,,,,2017-02-15,2017-02-13,2017,2
HAB_MWII,36.603683,-121.889275,5.0,17053.0,2017-02-22 16:20:00+00:00,12.9,25.0,4.17,0.51,8.29,4.34,50.0,0.0002,0.0,0.0,0.0,0.0,214.0,0.0,0.0,,,,2017-02-22,2017-02-20,2017,2
HAB_MWII,36.603683,-121.889275,5.0,17060.0,2017-03-01 16:30:00+00:00,13.6,25.0,6.64,0.68,16.44,7.26,50.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-03-01,2017-02-27,2017,3
HAB_MWII,36.603683,-121.889275,5.0,17068.0,2017-03-09 16:15:00+00:00,13.9,25.0,12.21,0.36,5.65,2.83,50.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,225.0,,,,2017-03-09,2017-03-06,2017,3
