location_code,latitude,longitude,depth,sampleid,time,temp,air_temp,chl_volume_filtered,chl1,avg_chloro,phaeo1,avg_phaeo,phosphate,silicate,nitrite,nitrite_nitrate,ammonium,nitrate,da_volume_filtered,pda,volume_settled_for_counting,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
SW,34.408043,-119.68485,1.0,20170102.0,2017-01-02 16:00:00+00:00,13.6,11.0,188.0,0.847,0.847,0.405,0.405,0.684,6.229,0.217,3.715,2.518,3.498,188.0,0.0,50.0,0.0,0.0,0.0,0.0,464.0,0.0,1856.0,0.0,0.0,,,,2320.0,2017-01-02,2017-01-02,2017,1
SW,34.408043,-119.68485,1.0,20170109.0,2017-01-09 15:45:00+00:00,14.5,14.7,188.0,0.474,0.474,0.472,0.472,1.152,6.113,0.193,3.585,6.59,3.392,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,,,,464.0,2017-01-09,2017-01-09,2017,1
SW,34.408043,-119.68485,1.0,20170116.0,2017-01-16 15:30:00+00:00,13.7,9.8,188.0,0.77,0.77,0.949,0.949,0.602,4.32,0.0,1.895,2.84,1.895,188.0,0.0,50.0,0.0,0.0,696.0,0.0,232.0,0.0,0.0,4177.0,0.0,,,,5105.0,2017-01-16,2017-01-16,2017,1
SW,34.408043,-119.68485,1.0,20170123.0,2017-01-23 15:30:00+00:00,13.1,10.0,188.0,0.683,0.683,0.907,0.907,0.675,5.76,0.156,3.934,1.55,3.778,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,0.0,,,,928.0,2017-01-23,2017-01-23,2017,1
SW,34.408043,-119.68485,1.0,20170130.0,2017-01-30 15:30:00+00:00,13.0,9.6,188.0,0.521,0.521,0.383,0.383,1.05,7.61,0.229,3.804,3.22,3.575,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2017-01-30,2017-01-30,2017,1
SW,34.408043,-119.68485,1.0,20170206.0,2017-02-06 15:00:00+00:00,14.0,10.8,188.0,1.416,1.416,0.603,0.603,0.678,8.57,0.0,2.534,9.4,2.534,188.0,0.0,50.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,2088.0,0.0,,,,2320.0,2017-02-06,2017-02-06,2017,2
SW,34.408043,-119.68485,1.0,20170213.0,2017-02-13 15:30:00+00:00,13.8,11.6,188.0,0.979,0.979,0.449,0.449,0.574,8.06,0.15,2.686,8.79,2.535,188.0,0.0,50.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,4409.0,0.0,,,,4873.0,2017-02-13,2017-02-13,2017,2
SW,34.408043,-119.68485,1.0,20170220.0,2017-02-20 15:30:00+00:00,13.6,12.6,188.0,0.82,0.82,0.58,0.58,1.89,49.2,0.39,29.178,5.69,28.788,188.0,0.0,50.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,1392.0,0.0,,,,1856.0,2017-02-20,2017-02-20,2017,2
SW,34.408043,-119.68485,1.0,20170227.0,2017-02-27 15:30:00+00:00,13.8,13.0,188.0,1.264,1.264,0.415,0.415,0.777,8.13,0.161,4.142,6.45,3.981,188.0,0.0,50.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,1392.0,0.0,,,,1624.0,2017-02-27,2017-02-27,2017,2
SW,34.408043,-119.68485,1.0,20170307.0,2017-03-07 15:00:00+00:00,13.3,8.0,188.0,0.567,0.567,0.912,0.912,0.882,6.68,0.123,4.686,7.59,4.562,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7425.0,0.0,0.0,,,,7425.0,2017-03-07,2017-03-06,2017,3
SW,34.408043,-119.68485,1.0,20170313.0,2017-03-13 14:00:00+00:00,15.1,13.0,188.0,1.307,1.307,0.469,0.469,0.253,1.29,0.0,0.787,7.75,0.787,188.0,0.0,50.0,0.0,0.0,0.0,0.0,464.0,0.0,141078.0,0.0,0.0,,,,141542.0,2017-03-13,2017-03-13,2017,3
SW,34.408043,-119.68485,1.0,20170321.0,2017-03-21 14:30:00+00:00,15.3,14.6,188.0,1.257,1.257,0.548,0.548,0.287,0.0,0.137,0.0,7.83,0.0,188.0,0.06,50.0,0.0,0.0,1856.0,0.0,4641.0,10210.0,0.0,928.0,0.0,,,,17635.0,2017-03-21,2017-03-20,2017,3
SW,34.408043,-119.68485,1.0,20170327.0,2017-03-27 15:00:00+00:00,14.7,15.0,188.0,1.927,1.927,1.015,1.015,0.746,7.05,0.0,6.415,11.8,6.415,188.0,0.26,50.0,0.0,0.0,0.0,0.0,2784.0,928.0,35734.0,0.0,0.0,,,,39446.0,2017-03-27,2017-03-27,2017,3
SW,34.408043,-119.68485,1.0,20170403.0,2017-04-03 14:15:00+00:00,13.3,12.0,188.0,2.202,2.202,1.983,1.983,1.11,13.1,0.132,12.42,4.02,12.288,188.0,1.08,50.0,0.0,0.0,0.0,0.0,0.0,4641.0,83069.0,0.0,0.0,,,,87710.0,2017-04-03,2017-04-03,2017,4
SW,34.408043,-119.68485,1.0,20170410.0,2017-04-10 15:00:00+00:00,13.6,12.5,188.0,2.122,2.122,1.353,1.353,0.866,8.57,0.321,6.672,3.4,6.35,188.0,2.24,50.0,0.0,0.0,0.0,0.0,928.0,1856.0,60794.0,0.0,0.0,,,,63578.0,2017-04-10,2017-04-10,2017,4
SW,34.408043,-119.68485,1.0,20170417.0,2017-04-17 14:30:00+00:00,14.0,14.1,188.0,5.815,5.815,0.82,0.82,0.458,1.35,0.0,2.133,5.52,2.133,188.0,7.56,50.0,0.0,0.0,743.0,0.0,13365.0,5940.0,264336.0,0.0,0.0,,,,284384.0,2017-04-17,2017-04-17,2017,4
SW,34.408043,-119.68485,1.0,20170424.0,2017-04-24 14:30:00+00:00,17.0,14.0,188.0,2.366,2.366,1.16,1.16,0.299,1.51,0.0,0.261,2.84,0.261,188.0,0.04,50.0,0.0,0.0,928.0,0.0,16707.0,0.0,0.0,0.0,0.0,,,,17635.0,2017-04-24,2017-04-24,2017,4
SW,34.408043,-119.68485,1.0,20170501.0,2017-05-01 14:30:00+00:00,13.1,15.6,188.0,3.761,3.761,0.577,0.577,1.94,23.8,0.263,18.319,18.6,18.056,188.0,0.07,50.0,0.0,9281.0,3249.0,1856.0,90494.0,0.0,0.0,928.0,0.0,,,,105809.0,2017-05-01,2017-05-01,2017,5
