location_code,latitude,longitude,sampleid,time,temp,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
TBB,38.18967,-122.9286,TB Buoy,2021-01-29 18:59:00+00:00,,0.0,0.0,4.0,0.0,7.0,21.0,33.0,14.0,0.0,7.0,1041.0,25.0,1152.0,2021-01-29,2021-01-25,2021,1
TBB,38.18967,-122.9286,TB Buoy,2021-02-25 17:44:00+00:00,,2.0,0.0,0.0,0.0,6.0,444.0,423.0,0.0,0.0,13.0,15693.0,63.0,16644.0,2021-02-25,2021-02-22,2021,2
TBB,38.18967,-122.9286,TB Buoy,2021-03-27 18:42:00+00:00,,20417.0,0.0,0.0,0.0,5445.0,42195.0,13611.0,0.0,0.0,0.0,1666034.0,46279.0,1796703.0,2021-03-27,2021-03-22,2021,3
TBB,38.18967,-122.9286,TB Buoy,2021-04-14 21:45:00+00:00,,119.0,0.0,0.0,0.0,0.0,333.0,546.0,0.0,0.0,71.0,148369.0,214.0,149652.0,2021-04-14,2021-04-12,2021,4
TBB,38.18967,-122.9286,TB Buoy,2021-05-28 21:07:00+00:00,,0.0,0.0,0.0,0.0,0.0,354.0,109.0,0.0,0.0,0.0,65838.0,286.0,66587.0,2021-05-28,2021-05-24,2021,5
TBB,38.18967,-122.9286,TB Buoy,2021-06-24 18:47:00+00:00,,0.0,0.0,0.0,0.0,8.0,197.0,235.0,0.0,0.0,0.0,19788.0,182.0,20409.0,2021-06-24,2021-06-21,2021,6
TBB,38.18967,-122.9286,TB Buoy,2021-07-22 18:10:00+00:00,,39.0,7.0,28.0,0.0,25.0,255.0,3.0,20.0,0.0,11.0,1343.0,309.0,2038.0,2021-07-22,2021-07-19,2021,7
TBB,38.18967,-122.9286,TB Buoy,2021-08-20 18:45:00+00:00,,12.0,39.0,22.0,0.0,27.0,6.0,0.0,190.0,8.0,4.0,376.0,100.0,784.0,2021-08-20,2021-08-16,2021,8
TBB,38.18967,-122.9286,TB Buoy,2021-09-30 17:05:00+00:00,17.5,27.0,27.0,11.0,0.0,406.0,0.0,33.0,63.0,0.0,35.0,6321.0,169.0,7092.0,2021-09-30,2021-09-27,2021,9
TBB,38.18967,-122.9286,TB Buoy,2021-10-27 19:15:00+00:00,,37.0,27.0,21.0,2.0,191.0,8.0,10.0,254.0,0.0,139.0,349.0,189.0,1229.0,2021-10-27,2021-10-25,2021,10
TBB,38.18967,-122.9286,TB Buoy,2021-11-22 20:08:00+00:00,,10.0,34.0,5.0,0.0,165.0,23.0,34.0,49.0,0.0,19.0,619.0,113.0,1071.0,2021-11-22,2021-11-22,2021,11
TBB,38.18967,-122.9286,TB Buoy,2021-12-17 18:17:00+00:00,,2.0,0.0,6.0,0.0,56.0,10.0,2.0,10.0,0.0,2.0,289.0,38.0,416.0,2021-12-17,2021-12-13,2021,12
TBB,38.18967,-122.9286,TB Buoy,2022-01-25 22:23:00+00:00,,0.0,0.0,4.0,0.0,35.0,0.0,0.0,19.0,0.0,0.0,58910.0,224.0,59192.0,2022-01-25,2022-01-24,2022,1
TBB,38.18967,-122.9286,TB Buoy,2022-02-18 21:08:00+00:00,,0.0,0.0,1.0,0.0,24.0,0.0,4.0,7.0,0.0,9.0,2847.0,418.0,3310.0,2022-02-18,2022-02-14,2022,2
TBB,38.18967,-122.9286,TB Buoy,2022-04-01 18:24:00+00:00,,0.0,0.0,0.0,0.0,0.0,45.0,102.0,0.0,0.0,2.0,6294.0,28.0,6471.0,2022-04-01,2022-03-28,2022,4
TBB,38.18967,-122.9286,TB Buoy,2022-04-29 17:38:00+00:00,,0.0,0.0,0.0,0.0,0.0,23.0,42.0,0.0,0.0,0.0,6521.0,44.0,6631.0,2022-04-29,2022-04-25,2022,4
TBB,38.18967,-122.9286,TB Buoy,2022-05-31 18:55:00+00:00,,0.0,0.0,0.0,0.0,0.0,41.0,30.0,0.0,0.0,8.0,29695.0,275.0,30049.0,2022-05-31,2022-05-30,2022,5
TBB,38.18967,-122.9286,TB Buoy,2022-07-01 20:50:00+00:00,,2.0,0.0,0.0,0.0,2.0,0.0,24.0,2.0,0.0,0.0,9901.0,149.0,10079.0,2022-07-01,2022-06-27,2022,7
TBB,38.18967,-122.9286,TB Buoy,2022-08-01 20:09:00+00:00,,212.0,0.0,11.0,0.0,9.0,8.0,124.0,0.0,0.0,11.0,568.0,283.0,1225.0,2022-08-01,2022-08-01,2022,8
TBB,38.18967,-122.9286,TB Buoy,2022-08-31 19:40:00+00:00,,25.0,75.0,67.0,0.0,70.0,29.0,10.0,15.0,0.0,54.0,82.0,199.0,626.0,2022-08-31,2022-08-29,2022,8
TBB,38.18967,-122.9286,TB Buoy,2022-09-30 21:30:00+00:00,,7.0,28.0,61.0,0.0,13.0,57.0,8.0,19.0,0.0,24.0,4323.0,151.0,4692.0,2022-09-30,2022-09-26,2022,9
TBB,38.18967,-122.9286,TB Buoy,2022-10-28 20:28:22+00:00,,0.0,4.0,1.0,0.0,2.0,3.0,5.0,6.0,0.0,3.0,135.0,15.0,174.0,2022-10-28,2022-10-24,2022,10
TBB,38.18967,-122.9286,TB Buoy,2022-11-22 18:32:00+00:00,,0.0,8.0,3.0,0.0,2.0,9.0,13.0,16.0,0.0,2.0,466.0,37.0,554.0,2022-11-22,2022-11-21,2022,11
TBB,38.18967,-122.9286,TB Buoy,2022-12-14 19:38:00+00:00,,5.0,6.0,2.0,0.0,348.0,2.0,2.0,71.0,0.0,0.0,280.0,24.0,739.0,2022-12-14,2022-12-12,2022,12
TBB,38.18967,-122.9286,TB Buoy,2023-02-01 16:36:00+00:00,,0.0,0.0,0.0,0.0,23.0,0.0,15.0,8.0,0.0,0.0,34955.0,85.0,35086.0,2023-02-01,2023-01-30,2023,2
TBB,38.18967,-122.9286,TB Buoy,2023-03-29 21:45:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7173.0,2028.0,9200.0,2023-03-29,2023-03-27,2023,3
TBB,38.18967,-122.9286,TB Buoy,2023-04-26 22:20:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55768.0,125.0,55892.0,2023-04-26,2023-04-24,2023,4
TBB,38.18967,-122.9286,TB Buoy,2023-05-23 21:39:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,962.0,0.0,0.0,0.0,104234.0,913.0,106109.0,2023-05-23,2023-05-22,2023,5
TBB,38.18967,-122.9286,TB Buoy,2023-06-29 17:40:00+00:00,,1533.0,0.0,0.0,0.0,50.0,0.0,93.0,0.0,0.0,0.0,17875.0,249.0,19813.0,2023-06-29,2023-06-26,2023,6
TBB,38.18967,-122.9286,TB Buoy,2023-07-20 19:22:00+00:00,,114.0,0.0,0.0,0.0,23.0,0.0,662.0,0.0,0.0,0.0,80362.0,91.0,81251.0,2023-07-20,2023-07-17,2023,7
TBB,38.18967,-122.9286,TB Buoy,2023-08-16 19:02:00+00:00,,0.0,0.0,1745.0,0.0,582.0,665.0,499.0,0.0,0.0,0.0,11343.0,2244.0,17658.0,2023-08-16,2023-08-14,2023,8
TBB,38.18967,-122.9286,TB Buoy,2023-09-20 18:09:00+00:00,,6.0,0.0,150.0,0.0,69.0,12.0,37.0,50.0,0.0,0.0,1278.0,293.0,1895.0,2023-09-20,2023-09-18,2023,9
TBB,38.18967,-122.9286,TB Buoy,2023-10-30 19:47:00+00:00,,240.0,534.0,20.0,0.0,1235.0,60.0,67.0,267.0,0.0,107.0,875.0,107.0,3512.0,2023-10-30,2023-10-30,2023,10
TBB,38.18967,-122.9286,TB Buoy,2023-11-29 19:42:00+00:00,,90.0,189.0,39.0,0.0,973.0,34.0,56.0,314.0,0.0,250.0,577.0,146.0,2668.0,2023-11-29,2023-11-27,2023,11
TBB,38.18967,-122.9286,TB Buoy,2023-12-14 19:42:00+00:00,,0.0,17.0,14.0,0.0,275.0,0.0,14.0,93.0,0.0,9.0,252.0,43.0,718.0,2023-12-14,2023-12-11,2023,12
TBB,38.18967,-122.9286,TB Buoy,2024-01-25 19:45:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,316.0,1620.0,2061.0,2024-01-25,2024-01-22,2024,1
TBB,38.18967,-122.9286,TB Buoy,2024-02-28 19:41:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,118.0,299.0,2024-02-28,2024-02-26,2024,2
TBB,38.18967,-122.9286,TB Buoy,2024-03-28 20:28:00+00:00,,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2511.0,0.0,2524.0,2024-03-28,2024-03-25,2024,3
TBB,38.18967,-122.9286,TB Buoy,2024-04-24 19:58:00+00:00,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,341.0,11.0,361.0,2024-04-24,2024-04-22,2024,4
TBB,38.18967,-122.9286,TB Buoy,2024-05-21 19:05:00+00:00,,0.0,0.0,0.0,0.0,0.0,95.0,614.0,0.0,0.0,24.0,33713.0,95.0,34540.0,2024-05-21,2024-05-20,2024,5
TBB,38.18967,-122.9286,TB Buoy,2024-07-12 20:36:00+00:00,,726.0,396.0,22.0,0.0,99.0,55.0,0.0,0.0,0.0,187.0,572.0,1056.0,3112.0,2024-07-12,2024-07-08,2024,7
TBB,38.18967,-122.9286,TB Buoy,2024-07-31 18:25:00+00:00,,68.0,68.0,46.0,0.0,46.0,2646.0,0.0,0.0,0.0,11.0,13926.0,171.0,16982.0,2024-07-31,2024-07-29,2024,7
TBB,38.18967,-122.9286,TB Buoy,2024-08-30 01:34:00+00:00,,69.0,278.0,104.0,115.0,58.0,3669.0,58.0,116.0,0.0,255.0,5579.0,532.0,10843.0,2024-08-30,2024-08-26,2024,8
TBB,38.18967,-122.9286,TB Buoy,2024-09-30 19:56:00+00:00,,0.0,0.0,131.0,0.0,354.0,0.0,6.0,6957.0,0.0,268.0,74.0,108.0,7898.0,2024-09-30,2024-09-30,2024,9
TBB,38.18967,-122.9286,TB Buoy,2024-10-30 18:16:00+00:00,,0.0,0.0,6.0,0.0,386.0,0.0,31.0,1714.0,0.0,0.0,100.0,0.0,2237.0,2024-10-30,2024-10-28,2024,10
TBB,38.18967,-122.9286,TB Buoy,2024-12-17 20:15:00+00:00,,0.0,0.0,0.0,0.0,15631.0,0.0,0.0,5584.0,0.0,0.0,150.0,0.0,21365.0,2024-12-17,2024-12-16,2024,12
TBB,38.18967,-122.9286,TB Buoy,2025-01-30 18:43:00+00:00,,0.0,0.0,11.0,0.0,946.0,0.0,0.0,12954.0,0.0,0.0,61.0,234.0,14207.0,2025-01-30,2025-01-27,2025,1
TBB,38.18967,-122.9286,TB Buoy,2025-02-24 16:32:00+00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,178621.0,2742.0,181425.0,2025-02-24,2025-02-24,2025,2
TBB,38.18967,-122.9286,TB Buoy,2025-03-18 19:52:00+00:00,,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,156.0,70.0,453.0,2025-03-18,2025-03-17,2025,3
TBB,38.18967,-122.9286,TB Buoy,2025-05-15 20:16:00+00:00,,0.0,0.0,0.0,0.0,278.0,0.0,1111.0,0.0,0.0,0.0,31645.0,93.0,33126.0,2025-05-15,2025-05-12,2025,5
TBB,38.18967,-122.9286,TB Buoy,2025-06-30 22:05:00+00:00,,0.0,0.0,0.0,0.0,0.0,102.0,512.0,0.0,0.0,0.0,47662.0,1177.0,49454.0,2025-06-30,2025-06-30,2025,6
TBB,38.18967,-122.9286,TB Buoy,2025-07-31 20:26:00+00:00,,763.0,78.0,12.0,0.0,78.0,12.0,107.0,6.0,0.0,108.0,7452.0,54.0,8666.0,2025-07-31,2025-07-28,2025,7
TBB,38.18967,-122.9286,TB Buoy,2025-09-26 17:35:00+00:00,,445.0,36.0,156.0,0.0,307.0,12.0,12.0,1286.0,0.0,0.0,1136.0,589.0,3978.0,2025-09-26,2025-09-22,2025,9
TBB,38.18967,-122.9286,TB Buoy,2025-10-27 18:32:00+00:00,,27.0,0.0,87.0,0.0,1369.0,0.0,53.0,1923.0,654.0,0.0,1362.0,154.0,5629.0,2025-10-27,2025-10-27,2025,10
TBB,38.18967,-122.9286,TB Buoy,2025-11-25 18:10:00+00:00,,12.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,208.0,24.0,4.0,276.0,2025-11-25,2025-11-24,2025,11
TBB,38.18967,-122.9286,TB Buoy,2025-12-30 15:59:00+00:00,,0.0,0.0,0.0,0.0,0.0,37.0,44.0,0.0,0.0,0.0,729.0,0.0,810.0,2025-12-30,2025-12-29,2025,12
TBB,38.18967,-122.9286,TB Buoy,2026-01-30 16:35:00+00:00,,0.0,0.0,0.0,0.0,0.0,100.0,623.0,0.0,0.0,0.0,45222.0,0.0,45945.0,2026-01-30,2026-01-26,2026,1
TBB,38.18967,-122.9286,TB Buoy,2026-03-03 19:26:00+00:00,,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,62.0,2026-03-03,2026-03-02,2026,3
