location_code,latitude,longitude,sampleid,time,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
T00,38.23082,-122.9791,TL00,2020-06-30 15:49:00+00:00,0.0,0.0,3.0,0.0,13.0,136.0,57.0,6.0,0.0,0.0,9295.0,48.0,9558.0,2020-06-30,2020-06-29,2020,6
T00,38.23082,-122.9791,TL00,2020-07-29 16:24:00+00:00,1074.0,0.0,13.0,0.0,25.0,0.0,0.0,60.0,0.0,1.0,27.0,29.0,1229.0,2020-07-29,2020-07-27,2020,7
T00,38.23082,-122.9791,TL00,2020-08-27 21:15:00+00:00,335.0,0.0,38.0,0.0,79.0,59.0,119.0,21.0,0.0,11.0,9314.0,103.0,10077.0,2020-08-27,2020-08-24,2020,8
T00,38.23082,-122.9791,TL00,2020-09-29 18:29:00+00:00,0.0,3.0,37.0,0.0,1091.0,771.0,360.0,39.0,0.0,135.0,2366.0,151.0,4953.0,2020-09-29,2020-09-28,2020,9
T00,38.23082,-122.9791,TL00,2020-10-28 17:57:00+00:00,312.0,17.0,23.0,0.0,602.0,5.0,12.0,132.0,0.0,20.0,282.0,150.0,1555.0,2020-10-28,2020-10-26,2020,10
T00,38.23082,-122.9791,TL00,2020-11-12 17:12:00+00:00,2.0,0.0,3.0,0.0,21.0,32.0,15.0,2.0,0.0,0.0,860.0,12.0,948.0,2020-11-12,2020-11-09,2020,11
T00,38.23082,-122.9791,TL00,2020-12-29 17:59:00+00:00,0.0,0.0,10.0,0.0,14.0,28.0,53.0,6.0,0.0,7.0,540.0,14.0,670.0,2020-12-29,2020-12-28,2020,12
T00,38.23082,-122.9791,TL00,2021-01-29 18:37:00+00:00,0.0,0.0,0.0,0.0,2.0,24.0,9.0,5.0,0.0,0.0,385.0,3.0,427.0,2021-01-29,2021-01-25,2021,1
T00,38.23082,-122.9791,TL00,2021-02-25 17:20:00+00:00,1.0,0.0,0.0,0.0,0.0,287.0,273.0,0.0,0.0,8.0,9178.0,44.0,9791.0,2021-02-25,2021-02-22,2021,2
T00,38.23082,-122.9791,TL00,2021-03-27 18:10:00+00:00,28.0,0.0,0.0,0.0,0.0,67.0,108.0,0.0,0.0,0.0,9698.0,67.0,9967.0,2021-03-27,2021-03-22,2021,3
