location_code,latitude,longitude,sampleid,time,da_volume_filtered,pda,tda,sample_date,week_start,year,month
TP,41.05495,-124.14696,TR_170831,2017-08-31 19:00:00+00:00,250.0,0.0926588,,2017-08-31,2017-08-28,2017,8
TP,41.05495,-124.14696,TR_170831,2017-08-31 19:00:00+00:00,250.0,0.01301433,,2017-08-31,2017-08-28,2017,8
TP,41.05495,-124.14696,TR_001a,2019-03-26 22:35:00+00:00,250.0,0.0,0.0,2019-03-26,2019-03-25,2019,3
TP,41.05495,-124.14696,TR_002a,2019-03-28 20:00:00+00:00,250.0,0.0,0.0,2019-03-28,2019-03-25,2019,3
TP,41.05495,-124.14696,TR_003a,2019-04-04 20:30:00+00:00,250.0,0.003550342,0.0,2019-04-04,2019-04-01,2019,4
TP,41.05495,-124.14696,TR_004a,2019-04-18 21:00:00+00:00,250.0,0.0,0.0,2019-04-18,2019-04-15,2019,4
TP,41.05495,-124.14696,TR_005a,2019-04-25 21:00:00+00:00,250.0,0.0,0.0,2019-04-25,2019-04-22,2019,4
TP,41.05495,-124.14696,TR_006a,2019-05-09 21:15:00+00:00,250.0,0.0,0.20681167,2019-05-09,2019-05-06,2019,5
TP,41.05495,-124.14696,TR_007a,2019-05-16 21:25:00+00:00,250.0,0.0,0.0,2019-05-16,2019-05-13,2019,5
TP,41.05495,-124.14696,TR_008a,2019-07-08 22:00:00+00:00,250.0,0.0,0.0,2019-07-08,2019-07-08,2019,7
TP,41.05495,-124.14696,TR_009a,2019-07-30 21:45:00+00:00,250.0,0.009044085,0.0,2019-07-30,2019-07-29,2019,7
TP,41.05495,-124.14696,TR_010a,2019-08-22 21:00:00+00:00,250.0,0.21084023,0.6894096,2019-08-22,2019-08-19,2019,8
TP,41.05495,-124.14696,TR_011a,2019-08-30 22:00:00+00:00,250.0,0.06992477,0.1770909,2019-08-30,2019-08-26,2019,8
TP,41.05495,-124.14696,TR_012a,2019-09-10 22:30:00+00:00,250.0,0.008920267,0.0,2019-09-10,2019-09-09,2019,9
TP,41.05495,-124.14696,TR_013a,2019-09-25 20:00:00+00:00,250.0,0.019197147,0.13817352,2019-09-25,2019-09-23,2019,9
TP,41.05495,-124.14696,TR_001,2020-01-22 20:20:00+00:00,250.0,0.0,1.2501787,2020-01-22,2020-01-20,2020,1
TP,41.05495,-124.14696,TR_002,2020-02-06 00:00:00+00:00,250.0,0.004048305,0.56189066,2020-02-06,2020-02-03,2020,2
TP,41.05495,-124.14696,TR_003,2020-02-24 20:45:00+00:00,250.0,0.030225009,0.41642717,2020-02-24,2020-02-24,2020,2
TP,41.05495,-124.14696,TR_004,2020-03-06 20:00:00+00:00,250.0,0.055653423,0.0,2020-03-06,2020-03-02,2020,3
TP,41.05495,-124.14696,TR_005,2020-06-02 00:30:00+00:00,250.0,0.009703549,0.0,2020-06-02,2020-06-01,2020,6
TP,41.05495,-124.14696,TR_006,2020-06-29 18:00:00+00:00,250.0,0.009795067,0.0,2020-06-29,2020-06-29,2020,6
TP,41.05495,-124.14696,TR_007,2020-07-07 18:00:00+00:00,250.0,0.0,1.0489038,2020-07-07,2020-07-06,2020,7
TP,41.05495,-124.14696,TR_008,2020-07-21 21:45:00+00:00,250.0,0.003442092,1.3236885,2020-07-21,2020-07-20,2020,7
TP,41.05495,-124.14696,TR_009,2020-08-13 20:00:00+00:00,250.0,1.2609,0.0,2020-08-13,2020-08-10,2020,8
TP,41.05495,-124.14696,TR_010,2020-08-28 22:15:00+00:00,250.0,0.9841,0.0,2020-08-28,2020-08-24,2020,8
TP,41.05495,-124.14696,TR_011,2020-09-15 21:50:00+00:00,250.0,0.015230474,0.72622246,2020-09-15,2020-09-14,2020,9
TP,41.05495,-124.14696,TR_012,2020-09-29 20:15:00+00:00,250.0,0.013911154,0.7989539,2020-09-29,2020-09-28,2020,9
TP,41.05495,-124.14696,TR_013,2020-10-14 22:15:00+00:00,250.0,0.5249288,0.35939914,2020-10-14,2020-10-12,2020,10
