feature,importance
num__sst_roll_14d,0.08468779821904877
num__sea_surface_temp_c,0.07048225318947335
num__air_temp_c,0.05668813146274746
num__avg_chloro,0.053680729503630786
num__month,0.044628639226058926
num__avg_chloro_lag1,0.0435310173664971
num__rolling_bloom_rate_52w,0.04292576489699244
num__year,0.03902881766673259
num__silicate,0.035993862995450966
num__wave_height_m,0.033619840914660505
num__temp,0.02723699184849669
cat__season_winter,0.026454955192833196
cat__season_spring,0.025877554695998426
num__avg_chloro_lag2,0.02508162466464171
num__temp_lag1,0.024839817201286536
num__silicate_nitrate_ratio,0.024733744364757077
num__wind_speed_mps,0.024246657968549388
num__mean_wave_dir_deg,0.023690071036350416
num__nitrate_lag2,0.023145646713978132
num__atm_pressure_hpa,0.022525247004434028
num__sst_roc_3d,0.022288364422683813
num__temp_lag2,0.021471820134251723
num__latitude,0.021150886518768678
num__nitrate_lag1,0.02017113730929439
num__silicate_lag1,0.019990798551058453
num__dominant_period_s,0.019931767505050643
num__anom_roll_14d,0.019614316242286635
num__silicate_lag2,0.018374515169116798
num__longitude,0.018339433042041636
num__warm_degree_days_14d,0.018329204162267965
num__nitrate,0.016316264766150335
num__station_id,0.007825222534075884
cat__station_Cal Poly Pier,0.005131615427891709
cat__season_fall,0.004874541703032141
cat__season_summer,0.002778920499749363
cat__station_Santa Cruz Wharf,0.0018758327536014356
num__above_avg,0.0012593107060838138
cat__station_Stearns Wharf,0.0012088512178950854
cat__station_Newport Beach Pier,0.0011621751766857985
cat__station_Monterey Wharf,0.0010844373159416968
cat__station_Humboldt South Bay,0.0008669629646616121
cat__station_Trinidad Pier,0.0008023028886258682
cat__station_Humboldt,0.0007267713427597548
cat__station_Scripps Pier,0.0006881212393849096
cat__station_Santa Monica Pier,0.0006372602740214928
